Engagements,Followers at Posting,Description,Day_of_Week,Time_in_seconds,Album,Photo,Video,Description_Score
664944,34926181,raptors tribute their all time leader in points games played  victories demar_derozan #thisiswhyweplay,4,70151,0,0,1,-2.5861760460181684
716428,34926181,toronto shows love for demar_derozan  nbaonespn,4,69786,0,0,1,-0.886608721774492
601663,34926181,kyle_lowry7  demar_derozan before espn tip,4,69715,0,0,1,-1.5807907004293282
507043,34926181,demar_derozan arrives for spurs raptors action tonight on espn 7pm et,4,63407,0,0,1,-4.77597938625001
321940,34926181,demar_derozans return to toronto headlines tonights espn action,4,46648,1,0,0,-0.278866043972342
343189,34926181,join us in wishing rajonrondo of the lakers a happy 33rd birthday #nbabday,4,38292,0,1,0,-3.8399740193280576
417568,34926181,swipe through to recap thursdays six games,4,8257,1,0,0,-3.7767238431219017
904413,34926181,kingjames raises it high for the lakers slam  nbaontnt,4,2962,0,0,1,1.5353268640574544
806414,34926181,jharden13 cuts baseline for the slam  nbaontnt,4,1155,0,0,1,0.05599703311425419
753868,34926181,easymoneysniper with the emphatic swat for the warriors,3,84842,0,0,1,0.612892464370774
723037,34926181,its gametime in la nbaontnt who ya got,3,81784,0,0,1,-1.738951249263839
659564,34926181,k_mid22 buries the clutch triple for the bucks,3,81236,0,0,1,-1.5008366316025434
359658,34926181,bensimmons  dwyanewade #onelastdance,3,79556,0,1,0,-0.770677278735745
659564,34926181,bosnianbeast27 finishes through contact for the trailblazers,3,78574,0,0,1,-2.4184760271560357
660016,34926181,jharden13s ready for houstonrockets action 1030pm et nbaontnt in la,3,78114,0,0,1,-4.592009882384749
601663,34926181,cp3 warms up for tonights houstonrockets action 1030pm et nbaontnt in la,3,77743,0,0,1,-5.117533996761414
716428,34926181,jaytatum0 with the crazy putback  nbaontnt,3,76338,0,0,1,-1.409502911494378
659564,34926181,shabazznap13r through the legs to allencrabbe for the triple,3,74989,0,0,1,-2.3859675486971255
723037,34926181,j_lay_lay sends it,3,74924,0,0,1,0.8141135758512277
667273,34899969,"the houstonrockets move the ball to find the open shooter #nbabreakdown

 rockets lakers
 1030pm et  nbaontnt",3,63040,0,0,1,-4.148505246530384
555849,34899969,get ready for tonights bucks action 800pm et nbaontnt with giannis_an34 best stretch plays,3,57990,0,0,1,-2.13265263010055
725570,34899969,"thats what i do baby 

 the best micd up action from the 2019 nbaallstar game ",3,52112,0,0,1,0.45492152530881785
341927,34899969,we return tonight with a star studded nbaontnt doubleheader,3,50426,1,0,0,-2.017821200800082
321479,34899969, the nba standings ,3,42350,1,0,0,-1.1483774970293805
395867,34899969,checking in with the stat leaders ahead of tonights action,3,36299,1,0,0,-2.8015939758273793
323213,34899969, the stat leaders among #nbarooks ahead of thursdays nba action,2,78850,1,0,0,-3.0364762852777165
614322,34872809,"think you have what it takes to be an nba gm

former nba gms put stat savvy fans to the test on #gmschool    tonight at 8pm et nbatv 
presented by sapsports",2,59678,0,0,1,-4.170105768898207
574070,34842554," the best of the #nbaallstar game through the lens of our slo mo #phantomcam 
 take over freestyle by rayemmanuel | unitedmasters",1,60226,0,0,1,-1.7951992942443278
673453,34842554,are you kidding me get your cameraphones out hamidiallo is in the building #attslamdunk,1,49021,0,0,1,-0.7079765595658802
333461,34842554,janellemonae tore it down at the att pregame concert on #nbaallstar sunday #attvip,1,45009,1,0,0,-0.7054492452148744
350857,34842554,join us in wishing nikola jokic of the nuggets a happy 24th birthday #nbabday,1,37792,0,1,0,-2.7088517994742585
805644,34842554,the best of #teamlebrons 20 point comeback for the #nbaallstar win,0,83826,0,0,1,0.5207712278793477
378897,34842554,hamidiallos #attslamdunk #nbaart masterpiece,0,76221,1,0,0,-0.2267060530103696
730652,34797699,we commemorate the #curry6 with six time all star stephencurry30s top 6 plays of his #nbaallstar career,0,65249,0,0,1,-0.3879999645999792
718116,34797699, stephencurry30 to giannis_an34 as heard around the world #globalgame,0,55002,0,0,1,1.8694281077370487
661118,34797699,giannis_an34 gets waaay up to throw down the oop from stephencurry30 #nbabreakdown,0,49880,0,0,1,0.7625660256000757
380480,34797699,toss it up one last time,0,38955,0,1,0,-0.14262028161603846
751430,34797699,steph vs klay in the 2019 #nbaallstar game,0,34051,0,0,1,0.9662623978359768
816215,34797699, the best dunks in the #nbaallstar game ,0,27412,0,0,1,1.814095702193481
819989,34797699, signing off from #nbaallstar in charlotte ,0,11966,0,0,1,1.0556192595389502
754106,34797699,easymoneysniper puts up 31 points to lead #teamlebron in 178 164 w  earn #kiaallstarmvp honors,0,5677,0,0,1,0.3687154812690647
433125,34797699, #attvip blue carpet before #nbaallstar ,0,5197,1,0,0,-0.5221243830599924
854751,34797699,easymoneysniper shows off the #kiaallstarmvp  following #teamlebron victory,6,85837,0,0,1,0.2123652507091733
378462,34797699,easymoneysniper takes home the #kiaallstarmvp as #teamlebron defeats #teamgiannis 178 164,6,84163,0,1,0,-0.6307945326781029
833173,34797699,stephencurry30 off the bounce,6,83327,0,0,1,1.5990743256971163
730158,34797699,poetry in motion #phantomcam,6,83191,0,0,1,0.5896461735100551
416441,34797699,the captains #nbaallstar,6,82764,0,1,0,-0.4625435513557254
417377,34797699,with tonights start kingjames ties kobebryant for the most in #nbaallstar history,6,82593,0,1,0,0.3449136094209635
416441,34797699,a moment for the legends #thisiswhyweplay,6,81238,0,1,0,-0.5340465988511919
960297,34797699,dwyanewade  kingjames connect #nbaallstar,6,80387,0,0,1,2.3755986180939526
458172,34797699,stephencurry30 x theofficialai3 #nbaallstar,6,79873,1,0,0,0.6646120208906843
458172,34797699,giannis_an34 x stephencurry30,6,79632,0,1,0,0.6719595113649965
774226,34797699, ygtrece ,6,79343,0,0,1,-0.1424030752499123
833173,34797699, stephencurry30 micd up ,6,77036,0,0,1,0.9960479737787372
780541,34797699,swish41 checks in and buries two triples for #teamgiannis,6,76918,0,0,1,0.09933142924795013
774226,34797699,giannis_an34 gets up for the oop,6,76913,0,0,1,-0.6196512976363282
774226,34797699,giannis_an34 slings it ahead to nikola jokic,6,76342,0,0,1,0.4427240347424935
384563,34797699, meekmill from the stage to courtside #nbaallstar ,6,76039,0,1,0,-1.2033079144876093
706260,34797699,the 2019 nbaallstar game is underway nbaontnt,6,74307,0,0,1,-1.6642489101504476
832292,34797699,stephencurry30 360 in warmups #nbaallstar  nbaontnt,6,73895,0,0,1,0.5226185805161846
343946,34797699,lebrons nbaallstar nbakicks,6,72694,0,1,0,-2.2915945475971418
315087,34797699,thanasis thanks for sharing giannis_an34 tells a story of his brother thanasis_ante43 sharing basketball shoes when they were kids #thisiswhyweplay #nbakicks repost nbakicks,6,71944,1,0,0,-3.278369083714294
421466,34797699, x ,6,70181,0,1,0,0.0
416319,34752917,27 #nbaallstar games combined,6,67444,0,1,0,-0.6587771702323346
416319,34752917,dream big #thisiswhyweplay,6,67098,1,0,0,-0.34506967040510506
726987,34752917,#teamgiannis captain giannis_an34 has arrived #nbaallstar,6,66488,0,0,1,0.8686971458876495
652480,34752917,_kw15 sets up tonights nbaallstar in charlotte,6,65545,0,0,1,-1.6519663418910724
328259,34752917,its going down tonight at 500pm et nbaontnt as #teamlebron  #teamgiannis hit the floor,6,63983,0,1,0,-2.9007628366134837
362012,34752917,#nbaallstar appearance #15 for kingjames coming up 800pm et nbaontnt,6,61741,0,1,0,0.9798521402540553
298322,34752917,tune in at 530pm et tonight on atts ig live to jam out with janellemonae live the att pregame concert at #nbaallstar you wont want to miss this #attvip,6,58946,0,1,0,-2.2564694412031527
668577,34752917,off the backboard alley oops in #nbaallstar games #teamlebron takes on #teamgiannis tonight on nbaontnt 8pm et repost nbahistory,6,53191,0,0,1,-3.51157628340499
361201,34752917,its #nbaallstar gameday,6,46132,0,1,0,-0.16505729055215076
381566,34752917,join us in wishing 5x mvp 6x nba champion 6x #nbafinals mvp  14x #nbaallstar michael jordan a happy 56th birthday #nbabday ,6,40700,0,1,0,-4.89403462153606
733955,34752917,hamidiallo takes home the hardware in the 2019 #attslamdunk,6,29789,0,0,1,0.893968520155791
386935,34752917,the #nbaallstar #statefarmsaturday winners x nbakicks,6,10570,1,0,0,-2.950350859085796
793123,34752917, #phantomcam ,5,83714,0,0,1,0.0
779730,34752917, taking some hardware with him back to okcthunder  hamidiallo is the #attslamdunk champ #statefarmsaturday,5,83599,0,0,1,-1.145492903883941
612556,34752917,hamidiallo over quavohuncho through the lens of our slo mo #phantomcam #attslamdunk,5,83497,0,0,1,-2.0637521776875194
448397,34752917,that jacket looked familiar,5,83116,0,1,0,-0.06040273113484845
370338,34752917,congrats to 2019 #attslamdunk champ hamidiallo of the okcthunder,5,82039,0,1,0,-3.539308408672789
712033,34752917,hamidiallo leaps over quavohuncho to secure the #attslamdunk vicotry,5,81179,0,0,1,0.22675015891801664
448397,34752917,over the big fella #attslamdunk,5,80525,0,1,0,0.16036346340598054
712033,34752917,hamidiallo goes over shaq to put his elbow in the rim #attslamdunk,5,80438,0,0,1,0.1169481100689902
712033,34752917,desmith4 puts up a 50 with the assist from realcoleworld #attslamdunk,5,80356,0,0,1,0.27519030123423627
786922,34752917,the newly crowded #mtndew3pt contest winner joeharris__12  checks in #statefarmsaturday,5,78980,0,0,1,1.0254975565060842
780556,34752917,joeharris__12 puts up 26 in the final round for the #mtndew3pt win,5,78706,0,0,1,0.16572303586939385
370338,34752917,congrats to 2019 #mtndew3pt champ joeharris__12 of the brooklynnets,5,78503,0,1,0,-3.5907451140259856
919846,34752917,stephencurry30 gets  in the #mtndew3pt #statefarmsaturday,5,77307,0,0,1,1.4727421681688568
414072,34752917, sundays #nbaallstar game halftime performer realcoleworld #statefarmsaturday ,5,77178,0,1,0,-0.16013917661045723
854767,34752917,jaytatum0 showin off his new hardware following the #tacobellskills challenge #statefarmsaturday ,5,75743,0,0,1,-0.08244212852943261
854767,34752917,jaytatum0 showin off his new hardwood following the #tacobellskills challenge #statefarmsaturday ,5,75553,0,0,1,-0.07606148865796808
459876,34752917,congrats to 2019 #tacobellskills champ jaytatum0 of the celtics,5,75123,0,1,0,-3.504370968718832
370271,34725271,jcollins20_ arrives in expressmen style #nbagamechangers,5,72523,0,1,0,-1.407126148009069
862667,34725271,the 2019 #attslamdunk participants #statefarmsaturday,5,70926,0,0,1,-0.0347441799725344
493240,34725271,curry bros sdotcurry x stephencurry30 #mtndew3pt,5,70847,0,1,0,-0.2564612568295028
862667,34725271,your 2019 #mtndew3pt contest squad #statefarmsaturday,5,70327,0,0,1,0.07008811319130437
796963,34725271,the 2019 #tacobellskills field #statefarmsaturday,5,68312,0,0,1,-0.2571680680249877
783290,34725271,the  has the lefty pass down as he warms up for the #tacobellskills 800pm et nbaontnt,5,67053,0,0,1,0.10757166760367842
721119,34725271,a global game jcollins20_s #mtndewicerisingstars dunk as heard around the world,5,60888,0,0,1,1.8915896450733238
323829,34725271,nba  fiba announce their plan to launch the basketball africa league bal a new professional league featuring 12 club teams from across africa nba_africa #nbaallstar ,5,57566,0,1,0,-3.2790765589152864
721119,34725271, lukadoncic micd up at the #mtndewicerisingstars ,5,55754,0,0,1,-1.4204049211988352
809306,34725271,zmane2 to kingjames to dwyanewade #nbaallstar,5,51115,0,0,1,2.004409189928367
887189,34725271,damianlillard  kingjames go back to back from halfcourt #nbaallstar,5,50788,0,0,1,3.387687786968752
727001,34725271,#teamlebron takes the floor for the #nbaallstar practice presented by att on nbatv,5,48202,0,0,1,-0.5415642796528275
353488,34725271,#teamlebron will be playing for rmfycharlotte in the 2019 #nbaallstar game,5,47233,0,1,0,-0.5451186535819799
733192,34725271,captain giannis_an34 ready for #nbaallstarpractice presented by att #teamgiannis  nbatv,5,45186,0,0,1,-0.5549033525296727
797247,34725271, having fun at the instagram photo booth ahead of todays #nbaallstar practice presented by att,5,43749,0,0,1,0.08116799075254466
355701,34725271,kingjames  dreamville collaborated on these exclusive custom #nbaallstar beatsbydre ,5,43300,1,0,0,0.5170851055689609
338767,34725271,#teamlebrons kyrieirving klaythompson easymoneysniper kingjames #nbaallstar,5,42309,0,1,0,5.435206972947268
895692,34725271,something light kingjames x nbakicks,5,40925,0,0,1,1.3393698252301398
450262,34725271,six time #nbaallstar stephencurry30 ahead of the nbaallstar practice presented by att,5,35798,0,1,0,-0.8657070546041994
339362,34725271,next up its the #statefarmsaturday participants time to shine 800pm et nbaontnt  pottheiser,5,25261,1,0,0,-2.8354361633262624
953708,34725271, the best dunks from the #mtndewicerisingstars game ,5,16368,0,0,1,2.0535328028235855
426789,34725271, the #mtndewrisingstars x nbakicks ,5,11744,1,0,0,-1.7623623993544202
807466,34725271,35 points for kuz to earn #mtndewicerisingstars mvp in the us win #nbaallstar,5,7079,0,0,1,-1.0529491313750936
378672,34725271,frenchmontana takes the stage at budweiserusa #budweiserlive at #nbaallstar,5,6437,1,0,0,-1.001073930018143
416673,34725271,that new hardware for kuz the #mtndewicerisingstars mvp,5,203,0,1,0,-0.9113709824864319
791865,34725271,kuz checks in with his mvp  following the us team victory #mtndewicerisingstars,4,85371,0,0,1,-0.16735092701150128
370577,34725271,kuz takes home mvp honors as the us defeats the world 161 144 in the #mtndewrisingstars,4,84751,0,1,0,-0.6671985100223944
670440,34725271,rosgo21 presents the #mtndewicerisingstars mvp to us teams kuz 35 pts #nbaallstar,4,83791,0,0,1,-1.0550989076580777
729014,34725271,traeyoung with the trickery #mtndewicerisingstars,4,83081,0,0,1,-0.5941652313452982
414338,34725271, courtside for #mtndewicerisingstars ,4,79808,0,1,0,-1.3398490438745143
729014,34725271,jcollins20_ off the glass on tnt #mtndewicerisingstars,4,79105,0,0,1,0.6349422112374241
665016,34725271,kuz and lukadoncic each with no looks #mtndewicerisingstars,4,79085,0,0,1,-3.124405780729203
729014,34725271,mb3five gets up for the two hand windmill #mtndewicerisingstars,4,79032,0,0,1,-0.07568023117764053
370577,34725271,famouslos32 takes home the #rufflescelebgame mvp as the home team won 82 80,4,78592,0,1,0,-0.6274535929856389
729014,34725271,jcollins20_ catches it off the bounce oop on tnt #mtndewicerisingstars,4,77490,0,0,1,0.6068594282532707
411039,34725271,nba commissioner adam silver and mickey mouse meet during the #nbaallstar celebrity game in charlotte the nba is collaborating with walt disney imagineering on the new nba experience opening this summer at walt disney world resort in florida this one of a kind destination will bring nba moments to life through thrilling basketball activities and interactive experiences that will appeal to boys girls and adults,4,76358,0,1,0,-5.175978643041849
370577,34725271,our #ruffersballer of the day cory is there to present famouslos32 with the #rufflescelebgame mvp,4,76141,1,0,0,-2.8878286191337597
380064,34725271,player x coach celtics teammates jaytatum0  kyrieirving pregame #mtndewicerisingstars,4,74296,0,1,0,0.30024963014986006
799170,34725271,world team coach dirk nowitzki greets his squad #mtndewicerisingstars,4,73694,0,0,1,0.2105016663276041
606637,34725271,iamkrislondon  quavohuncho chop it up at the finishline bodega #shoessofresh,4,73512,0,0,1,-0.9178109386889701
729014,34725271,realjaywilliams breaks out the handles to the bucket on espn #rufflescelebgame,4,73389,0,0,1,1.6028858666336492
729014,34725271,famouslos32 buries the 4 pointer plus the foul on espn #rufflescelebgame,4,72354,0,0,1,1.6468614620859114
734960,34725271,the world team #mtndewicerisingstars tips tonight on nbaontnt 9pm et #nbaallstar,4,71168,0,0,1,-1.8073826851504067
670440,34725271,world teams lukadoncic puts on his nike adapt bb #nbakicks #mtndewicerisingstars repost nbakicks,4,70267,0,0,1,-2.9950366936267065
370577,34725271,its the world vs the us in the 2019 #mtndewicerisingstars 900pm et nbaontnt who ya got,4,69026,0,1,0,-1.5578299600039207
338088,34706652,our #rufflesballer for a day cory hangin with ohsnapjbsmoove and chrisdaughtry  ahead of the #rufflescelebgame,4,66176,0,1,0,-3.4569368070893494
292157,34706652,trayfour laces up his nbakicks for tonights #rufflescelebgame,4,63807,0,1,0,-2.3977533440484544
321476,34706652,badbunnyprs got his game face on for tonights #rufflescelebgame 700pm et espn,4,62793,0,1,0,-1.4111364345619888
359439,34706652, the #rufflescelebgame at #nbaallstar is coming up ,4,53635,0,1,0,-0.45474523948888035
630425,34706652,jaytatum0  his son deuce following #mtndewicerisingstars practice #thisiswhyweplay repost nbaallstar,4,46729,0,0,1,-1.6860917188084035
745391,34706652,adam silver unveils the nba jersey of the future,4,34207,0,0,1,0.18516596770400168
380457,34706652,the #mtndewicerisingstars hit the queen city  lebrechtmedia,4,11368,1,0,0,-1.211436993406403
325083,34706652,the nyknicks orlandomagic  pelicansnba each win as we enter the #nbaallstar break,3,81432,1,0,0,-3.2869250039590243
357706,34706652,eleven straight russwest44 notches his 11th straight triple double for the okcthunder with 44p 14r 11a #tripledoublealert,3,80382,0,1,0,-4.858286367924777
659648,34706652,jrue_holiday11 shakes and bakes to the rim for the pelicansnba,3,79487,0,0,1,-2.6713001012591757
723129,34706652,3tross1 with double clutch baseline,3,75950,0,0,1,-0.4257544117850105
716519,34706652,russwest44 with the acrobatic move  nbaontnt,3,73700,0,0,1,-0.7448188407096514
673514,34684589,we see things differently footlocker #becausesneakers,3,65768,0,0,1,-0.40833860857700216
555919,34684589,ahead of tonights okcthunder action 800pm et nbaontnt we showcase the best of russwest44s 10 straight triple doubles,3,57702,0,0,1,-3.9677335017925937
400077,34684589,,3,32205,0,1,0,0.0
337770,34684589, what was your fave shaq nbaallstar nbakicks ,3,11610,1,0,0,-1.8549517659579378
442865,34684589,swipe through to recap a busy night around the association,3,6447,1,0,0,-3.4794600437185914
742007,34684589,damianlillard from waaaay downtown,3,5500,0,0,1,0.7062278580457866
676869,34684589,sdotcurry takes off the dribble late for the trailblazers,3,3155,0,0,1,-2.14305543374613
402475,34684589,nikola jokic notches his 12th triple double of the season for the nuggets with 20p 18r 11a #tripledoublealert,3,1290,0,1,0,-3.531393025113029
723142,34684589,nikola jokic tips it for the nuggets win,2,85073,0,0,1,-0.30860900005791975
659660,34684589,isaiahthomas gets on the board for the nuggets,2,83084,0,0,1,-1.7022144912733492
792733,34684589,legends,2,82727,0,0,1,-0.3172833376860724
659660,34684589,  pskills43 puts up a career high 44 to lead the raptors at home,2,80996,0,0,1,-1.9628165711547356
723142,34684589,demarrecarroll1 send us to triple ot in cleveland,2,79632,0,0,1,0.2990458127292205
716532,34684589,callme_nonstop with the tough defense and block for the timberwolves  espn,2,79054,0,0,1,-1.3872145943707521
329566,34684589,giannis_an34 secures his 5th triple double of the season for the bucks with 33p 19r 11a #tripledoublealert,2,77999,0,1,0,-4.2401437729649665
723142,34684589,quese takes flight for the slam in cleveland,2,76825,0,0,1,0.32139587381402723
659660,34684589,swish41 and dwyanewade check in at the same time in dallas,2,75652,0,0,1,-3.2074155427405673
723142,34684589,kknox_23 with two hands for safety,2,74381,0,0,1,-0.3665414708653091
609846,34662173,get pumped for tonights houstonrockets action 800pm et nbaonespn with jharden13s best dimes of the season,2,51830,0,0,1,-3.616133251014138
408024,34662173,10 teams 5 winners for tuesdays nba action,2,5614,1,0,0,-3.8503240653271438
832565,34662173,stephencurry30 goes on personal 8 0 run to lead the warriors late,2,4336,0,0,1,2.923028611658011
785501,34662173, jaytatum0 ,1,79095,0,0,1,-0.5446387554816716
975313,34662173,kingjames tosses it up through the contact,1,78550,0,0,1,2.5758286712796785
716545,34662173,rudygay takes it baseline for the spurs ,1,73333,0,0,1,-0.6713346925144672
555939,34633632,ahead of tonights sixers action 800pm et nbaontnt we showcase tobiasharris hot start with philadelphia,1,50759,0,0,1,-3.790339603324539
262989,34633632,join us in wishing a happy 85th birthday to 11x champion 5x nba mvp 12x nbaallstar  1963 nbaallstar mvp realbillrussell #nbabday repost nbahistory,1,39838,0,1,0,-6.766311184623736
431919,34633632,swipe through to recap mondays nine games,1,125,1,0,0,-3.518654188984784
312508,34633632,ygtrece 47p 12r 10a  russwest44 21p 14r 11a are the first teammates in nbahistory to each have a 20 point triple double in the same game,0,82542,0,1,0,-4.044687541637785
793305,34633632,30 for 30 with this triple jharden13 secures his 30th straight game with 30 points,0,82174,0,0,1,-0.8596790669665892
729066,34633632,with this dime russwest44 secured his 10th triple double in 10 games #tripledoublealert,0,81025,0,0,1,-1.0072256451481774
343869,34633632,ten straight triple doubles for russwest44 the most in nbahistory,0,80673,0,1,0,-2.910812544222105
659684,34633632,greenranger14  kawhi put in clutch buckets to propel the raptors win,0,79196,0,0,1,-0.7785461386493646
343869,34633632,"congrats to cp3 of the houstonrockets for moving up to 8th on the nbas all time assists list 
#rockets #thisiswhyweplay",0,79006,0,1,0,-6.035723221851321
792761,34633632,derrick rose beats everyone down the floor to beat the buzzer,0,77839,0,0,1,1.7412766268408415
792761,34633632,she said yes,0,74668,0,0,1,1.6490102049007893
723168,34633632,ygtrece splits the defense into the slam,0,73120,0,0,1,0.18887723999995426
659684,34633632,thonmaker protects the paint for the detroitpistons,0,71464,0,0,1,-2.5820810718586844
723168,34633632,ohhhh supermariohezonja,0,71380,0,0,1,0.4091850936730707
668101,34607577,andredrummondd from the tunnel,0,67003,0,0,1,-0.31440803699898123
614422,34607577,shabazznap13r or traeyoungwho had your fave assist of the week #statefarmassists,0,63497,0,0,1,-1.9022383309534143
662448,34607577,"the art of the stepback by jharden13  lukadoncic 
 mavs rockets
 800pm et  nbatv",0,54826,0,0,1,-0.9376530472405799
308598,34607577, the stat leaders through week 17s action ,0,38670,1,0,0,-2.373787958407091
300749,34607577,the sixers dallasmavs sacramentokings orlandomagic  warriors each win on sunday,6,86043,1,0,0,-4.064525521423105
415921,34607577,flash x splash  #onelastdance,6,84951,0,1,0,-0.4816198659003282
848841,34607577,steph curry challenge,6,75204,0,0,1,1.102858387662708
848841,34607577,remix,6,73802,0,0,1,0.2423550584169968
855765,34607577,a beautiful moment in sacramento #hoopsfortroops,6,73362,0,0,1,0.20593520528824738
841083,34607577,24baze with a pregame ,6,73274,0,0,1,-0.28852486263297666
774325,34607577,not in jcollins20_s house,6,72341,0,0,1,0.7372692279424551
652563,34580959,lukadoncic scores 13 in the 4th to lead dallasmavs comeback,6,68159,0,0,1,-1.7552811044226015
652563,34580959,joelembiid puts up 37 points  14 boards to lead the sixers in 143 120 w,6,65026,0,0,1,-2.278317104085163
595277,34580959,liluzivert looks on as joelembiid gifts a ball to the crowd following the sixers win,6,64620,0,0,1,-2.4995017573461156
652563,34580959,lukadoncic  dwightpowell run the pick  roll to perfection,6,63042,0,0,1,-1.2852003827967948
692839,34580959,its always special when theofficialai3 is in philadelphia #nbaonabc,6,59160,0,0,1,-0.31394994859242864
596043,34580959,tobiasharris to the rack #phantomcam #nbaonabc,6,58654,0,0,1,0.09994083521246155
360793,34580959,magic x the answer,6,58280,0,1,0,-0.5427371995713233
759514,34580959,its gametime in philadelphia #nbaonabc,6,56778,0,0,1,0.5453143417667297
715362,34580959,lukadoncic plus the foul,6,55604,0,0,1,0.04285648397388403
709308,34580959,kingjames  bensimmons headline todays lakers sixers action 330pm et #nbaonabc,6,49442,0,0,1,-0.6329089341282252
349531,34580959,todays #nbaonabc action features lakers sixers 330pm et who ya got,6,40883,0,1,0,-4.243066396732475
313530,34580959,join us in wishing paulmillsap4 of the nuggets a happy 34th birthday #nbabday,6,31914,0,1,0,-4.40057320503023
961591,34580959,"whats your favorite part of the chinese new year 

#nbacny #thisiswhyweplay",6,10739,0,0,1,0.2082082072495119
712124,34580959,following his 45p in houston ygtrece dished out his #nbakicks repost nbakicks,5,86351,0,0,1,-0.28771939391780843
407042,34580959,with tonights triple double russwest44 ties wilt chamberlain for the most in consecutive games,5,86144,0,1,0,-3.0534936770844676
447890,34580959,swipe through to recap saturdays nba action,5,85950,1,0,0,-3.3261905092981556
369920,34580959,nine straight triple doubles by russwest44 for the okcthunder #tripledoublealert,5,81874,0,1,0,-3.5375308076311214
706362,34580959,stickity13 powers it in for the memgrizz,5,81507,0,0,1,-0.30687838409355833
684122,34580959,russwest44 with the steal and dime to russwest44 #nbaonabc,5,79773,0,0,1,-0.9119946711660423
644353,34580959,jlin7 to fearthefro95 for the amazing atlhawks inbounds play,5,77567,0,0,1,-2.5040304109964535
369920,34580959,"congrats to cp3 of the houstonrockets for moving up to 11th on the nbas all time steals list 
#rockets #thisiswhyweplay",5,77470,0,1,0,-6.726108387122301
706362,34580959,jabariparker throws down a pair of nasty slams for the washwizards in chicago,5,75589,0,0,1,-0.92928914583805
706362,34580959,marcgasol gets on the board for the raptors,5,73588,0,0,1,-2.0641356436969702
767261,34580959, desmith4 off the glass to deandre ,5,71947,0,0,1,0.3191937420425643
715375,34551928,rudygobert27 finishes it off the glass,5,64953,0,0,1,0.6501094635228774
692851,34551928,ahead of tonights #nbaonabc action 830pm et we showcase the best of russwest44s eight consecutive triple doubles,5,62358,0,0,1,-1.2588572495147625
825010,34551928,"russ x james 
 thunder rockets
 830pm et
 #nbaonabc",5,57706,0,0,1,1.0847949077846133
320884,34551928,tonights #nbaonabc saturday primetime features okcthunder houstonrockets who ya got,5,47629,0,1,0,-4.956834212586931
331971,34551928, the nba standings ahead of todays action ,5,41434,1,0,0,-2.1813663640194503
408786,34551928,what was your fave move prior to the #nbatradedeadline,5,35136,0,1,0,0.30181518025369986
370425,34551928, friday nights nba action,5,3449,1,0,0,-1.1257199605145918
792805,34551928,weve got a battle in nola,4,85918,0,0,1,0.5130977724166812
785558,34551928,jrue_holiday11 fakes his way to the bucket  espn,4,82433,0,0,1,0.27222630212600823
370155,34551928,nikola jokic secures his 11th triple double of the season for the nuggets with 27 10 10 #tripledoublealert,4,77682,0,1,0,-3.595826681884701
785558,34551928,bensimmons loses the defense to the rim  espn,4,77272,0,0,1,0.5561136095693733
723207,34551928, desmith4 in transition ,4,75695,0,0,1,0.514839134822501
785558,34551928,welcome back carislevert ,4,73368,0,0,1,-0.29467028985979127
723207,34551928,zachlavine8 catches the oop on the way down,4,73155,0,0,1,0.8370380886514319
716597,34551928,bensimmons tosses it up to jimmybutler  espn,4,72961,0,0,1,-0.8284655925149689
614455,34532553,crafty big men  #nbaallstar teammates joelembiid  nikola jokic headline tonights espn action 700pm et,4,65357,0,0,1,-0.7274030954929231
507172,34532553,best friends boban  tobiasharris make their sixers debuts 700pm et nbaonespn,4,63395,0,0,1,-2.1970343188151658
321108,34532553,new sixers threads for bobi  tobi,4,56103,0,1,0,-2.8209209409027527
285792,34532553, the stat leaders among #nbarooks ahead of tonights action,4,46116,1,0,0,-2.7350589309824334
570502,34532553,after pacers 36 19 4th straight win last night turner_myles  dsabonis11 get work in ahead of practice #pacersallaccess,4,44117,0,0,1,-2.5738618164030647
358142,34532553,join us in wishing klaythompson of the warriors a happy 29th birthday #nbabday,4,39748,0,1,0,-2.3101779963044042
276871,34532553, all the angles of rajonrondos #tissotbuzzerbeater for the lakers win #thisisyourtime,4,32601,1,0,0,-1.646541405772359
416489,34532553,swipe through to recap thursdays six games,4,4668,1,0,0,-3.7767238431219017
670755,34532553,moe_harkless throws down the emphatic slam for the trailblazers  nbaontnt,4,426,0,0,1,-3.1189736197810305
897032,34532553,kingjames wraps up a long day that began with the #nbaallstardraft  ended with a 129 128 lakers w in boston,3,85792,0,0,1,2.287490983425016
357297,34532553,eight straight russwest44 notches his 8th consecutive triple double for the okcthunder with 15 15 13 #tripledoublealert,3,82784,0,1,0,-5.876427251881471
889775,34532553,coach belichick x kingjames x rajonrondo,3,82728,0,0,1,2.6393278102543496
483363,34532553,kingjames notches his 4th triple double of the season for the lakers with 28 12 12 #tripledoublealert,3,82598,0,1,0,-1.416763265809225
576858,34532553,rajonrondos lakers #tissotbuzzerbeater through the lens of our slo mo #phantomcam #thisisyourtime,3,82439,0,0,1,-2.5433793538328353
735066,34532553,rajonrondos #tissotbuzzerbeater from the floor #thisisyourtime,3,82223,0,0,1,0.45452001982875645
670538,34532553,rajonrondo with the #tissotbuzzerbeater for the lakers win in boston #thisisyourtime,3,81657,0,0,1,-1.7383736545634327
723220,34532553,lebron  kyrie trade triples late nbaontnt,3,81592,0,0,1,-0.5057743917187845
