Engagements,Followers at Posting,Description,Day_of_Week,Time_in_seconds,Album,Photo,Video
706260,34797699,the 2019 nbaallstar game is underway nbaontnt,6,74307,0,0,1
832292,34797699,stephencurry30 360 in warmups #nbaallstar  nbaontnt,6,73895,0,0,1
343946,34797699,lebrons nbaallstar nbakicks,6,72694,0,1,0
315087,34797699,thanasis thanks for sharing giannis_an34 tells a story of his brother thanasis_ante43 sharing basketball shoes when they were kids #thisiswhyweplay #nbakicks repost nbakicks,6,71944,1,0,0
421466,34797699, x ,6,70181,0,1,0
416319,34752917,27 #nbaallstar games combined,6,67444,0,1,0
416319,34752917,dream big #thisiswhyweplay,6,67098,1,0,0
726987,34752917,#teamgiannis captain giannis_an34 has arrived #nbaallstar,6,66488,0,0,1
652480,34752917,_kw15 sets up tonights nbaallstar in charlotte,6,65545,0,0,1
328259,34752917,its going down tonight at 500pm et nbaontnt as #teamlebron  #teamgiannis hit the floor,6,63983,0,1,0
362012,34752917,#nbaallstar appearance #15 for kingjames coming up 800pm et nbaontnt,6,61741,0,1,0
298322,34752917,tune in at 530pm et tonight on atts ig live to jam out with janellemonae live the att pregame concert at #nbaallstar you wont want to miss this #attvip,6,58946,0,1,0
668577,34752917,off the backboard alley oops in #nbaallstar games #teamlebron takes on #teamgiannis tonight on nbaontnt 8pm et repost nbahistory,6,53191,0,0,1
361201,34752917,its #nbaallstar gameday,6,46132,0,1,0
381566,34752917,join us in wishing 5x mvp 6x nba champion 6x #nbafinals mvp  14x #nbaallstar michael jordan a happy 56th birthday #nbabday ,6,40700,0,1,0
733955,34752917,hamidiallo takes home the hardware in the 2019 #attslamdunk,6,29789,0,0,1
386935,34752917,the #nbaallstar #statefarmsaturday winners x nbakicks,6,10570,1,0,0
793123,34752917, #phantomcam ,5,83714,0,0,1
779730,34752917, taking some hardware with him back to okcthunder  hamidiallo is the #attslamdunk champ #statefarmsaturday,5,83599,0,0,1
612556,34752917,hamidiallo over quavohuncho through the lens of our slo mo #phantomcam #attslamdunk,5,83497,0,0,1
448397,34752917,that jacket looked familiar,5,83116,0,1,0
370338,34752917,congrats to 2019 #attslamdunk champ hamidiallo of the okcthunder,5,82039,0,1,0
712033,34752917,hamidiallo leaps over quavohuncho to secure the #attslamdunk vicotry,5,81179,0,0,1
448397,34752917,over the big fella #attslamdunk,5,80525,0,1,0
712033,34752917,hamidiallo goes over shaq to put his elbow in the rim #attslamdunk,5,80438,0,0,1
712033,34752917,desmith4 puts up a 50 with the assist from realcoleworld #attslamdunk,5,80356,0,0,1
786922,34752917,the newly crowded #mtndew3pt contest winner joeharris__12  checks in #statefarmsaturday,5,78980,0,0,1
780556,34752917,joeharris__12 puts up 26 in the final round for the #mtndew3pt win,5,78706,0,0,1
370338,34752917,congrats to 2019 #mtndew3pt champ joeharris__12 of the brooklynnets,5,78503,0,1,0
919846,34752917,stephencurry30 gets  in the #mtndew3pt #statefarmsaturday,5,77307,0,0,1
414072,34752917, sundays #nbaallstar game halftime performer realcoleworld #statefarmsaturday ,5,77178,0,1,0
854767,34752917,jaytatum0 showin off his new hardware following the #tacobellskills challenge #statefarmsaturday ,5,75743,0,0,1
854767,34752917,jaytatum0 showin off his new hardwood following the #tacobellskills challenge #statefarmsaturday ,5,75553,0,0,1
459876,34752917,congrats to 2019 #tacobellskills champ jaytatum0 of the celtics,5,75123,0,1,0
370271,34725271,jcollins20_ arrives in expressmen style #nbagamechangers,5,72523,0,1,0
862667,34725271,the 2019 #attslamdunk participants #statefarmsaturday,5,70926,0,0,1
493240,34725271,curry bros sdotcurry x stephencurry30 #mtndew3pt,5,70847,0,1,0
862667,34725271,your 2019 #mtndew3pt contest squad #statefarmsaturday,5,70327,0,0,1
796963,34725271,the 2019 #tacobellskills field #statefarmsaturday,5,68312,0,0,1
783290,34725271,the  has the lefty pass down as he warms up for the #tacobellskills 800pm et nbaontnt,5,67053,0,0,1
721119,34725271,a global game jcollins20_s #mtndewicerisingstars dunk as heard around the world,5,60888,0,0,1
323829,34725271,nba  fiba announce their plan to launch the basketball africa league bal a new professional league featuring 12 club teams from across africa nba_africa #nbaallstar ,5,57566,0,1,0
721119,34725271, lukadoncic micd up at the #mtndewicerisingstars ,5,55754,0,0,1
809306,34725271,zmane2 to kingjames to dwyanewade #nbaallstar,5,51115,0,0,1
887189,34725271,damianlillard  kingjames go back to back from halfcourt #nbaallstar,5,50788,0,0,1
727001,34725271,#teamlebron takes the floor for the #nbaallstar practice presented by att on nbatv,5,48202,0,0,1
353488,34725271,#teamlebron will be playing for rmfycharlotte in the 2019 #nbaallstar game,5,47233,0,1,0
733192,34725271,captain giannis_an34 ready for #nbaallstarpractice presented by att #teamgiannis  nbatv,5,45186,0,0,1
797247,34725271, having fun at the instagram photo booth ahead of todays #nbaallstar practice presented by att,5,43749,0,0,1
355701,34725271,kingjames  dreamville collaborated on these exclusive custom #nbaallstar beatsbydre ,5,43300,1,0,0
338767,34725271,#teamlebrons kyrieirving klaythompson easymoneysniper kingjames #nbaallstar,5,42309,0,1,0
895692,34725271,something light kingjames x nbakicks,5,40925,0,0,1
450262,34725271,six time #nbaallstar stephencurry30 ahead of the nbaallstar practice presented by att,5,35798,0,1,0
339362,34725271,next up its the #statefarmsaturday participants time to shine 800pm et nbaontnt  pottheiser,5,25261,1,0,0
953708,34725271, the best dunks from the #mtndewicerisingstars game ,5,16368,0,0,1
426789,34725271, the #mtndewrisingstars x nbakicks ,5,11744,1,0,0
807466,34725271,35 points for kuz to earn #mtndewicerisingstars mvp in the us win #nbaallstar,5,7079,0,0,1
378672,34725271,frenchmontana takes the stage at budweiserusa #budweiserlive at #nbaallstar,5,6437,1,0,0
416673,34725271,that new hardware for kuz the #mtndewicerisingstars mvp,5,203,0,1,0
791865,34725271,kuz checks in with his mvp  following the us team victory #mtndewicerisingstars,4,85371,0,0,1
370577,34725271,kuz takes home mvp honors as the us defeats the world 161 144 in the #mtndewrisingstars,4,84751,0,1,0
670440,34725271,rosgo21 presents the #mtndewicerisingstars mvp to us teams kuz 35 pts #nbaallstar,4,83791,0,0,1
729014,34725271,traeyoung with the trickery #mtndewicerisingstars,4,83081,0,0,1
414338,34725271, courtside for #mtndewicerisingstars ,4,79808,0,1,0
729014,34725271,jcollins20_ off the glass on tnt #mtndewicerisingstars,4,79105,0,0,1
665016,34725271,kuz and lukadoncic each with no looks #mtndewicerisingstars,4,79085,0,0,1
729014,34725271,mb3five gets up for the two hand windmill #mtndewicerisingstars,4,79032,0,0,1
370577,34725271,famouslos32 takes home the #rufflescelebgame mvp as the home team won 82 80,4,78592,0,1,0
729014,34725271,jcollins20_ catches it off the bounce oop on tnt #mtndewicerisingstars,4,77490,0,0,1
411039,34725271,nba commissioner adam silver and mickey mouse meet during the #nbaallstar celebrity game in charlotte the nba is collaborating with walt disney imagineering on the new nba experience opening this summer at walt disney world resort in florida this one of a kind destination will bring nba moments to life through thrilling basketball activities and interactive experiences that will appeal to boys girls and adults,4,76358,0,1,0
370577,34725271,our #ruffersballer of the day cory is there to present famouslos32 with the #rufflescelebgame mvp,4,76141,1,0,0
380064,34725271,player x coach celtics teammates jaytatum0  kyrieirving pregame #mtndewicerisingstars,4,74296,0,1,0
799170,34725271,world team coach dirk nowitzki greets his squad #mtndewicerisingstars,4,73694,0,0,1
606637,34725271,iamkrislondon  quavohuncho chop it up at the finishline bodega #shoessofresh,4,73512,0,0,1
729014,34725271,realjaywilliams breaks out the handles to the bucket on espn #rufflescelebgame,4,73389,0,0,1
729014,34725271,famouslos32 buries the 4 pointer plus the foul on espn #rufflescelebgame,4,72354,0,0,1
734960,34725271,the world team #mtndewicerisingstars tips tonight on nbaontnt 9pm et #nbaallstar,4,71168,0,0,1
670440,34725271,world teams lukadoncic puts on his nike adapt bb #nbakicks #mtndewicerisingstars repost nbakicks,4,70267,0,0,1
370577,34725271,its the world vs the us in the 2019 #mtndewicerisingstars 900pm et nbaontnt who ya got,4,69026,0,1,0
338088,34706652,our #rufflesballer for a day cory hangin with ohsnapjbsmoove and chrisdaughtry  ahead of the #rufflescelebgame,4,66176,0,1,0
292157,34706652,trayfour laces up his nbakicks for tonights #rufflescelebgame,4,63807,0,1,0
321476,34706652,badbunnyprs got his game face on for tonights #rufflescelebgame 700pm et espn,4,62793,0,1,0
359439,34706652, the #rufflescelebgame at #nbaallstar is coming up ,4,53635,0,1,0
630425,34706652,jaytatum0  his son deuce following #mtndewicerisingstars practice #thisiswhyweplay repost nbaallstar,4,46729,0,0,1
745391,34706652,adam silver unveils the nba jersey of the future,4,34207,0,0,1
380457,34706652,the #mtndewicerisingstars hit the queen city  lebrechtmedia,4,11368,1,0,0
325083,34706652,the nyknicks orlandomagic  pelicansnba each win as we enter the #nbaallstar break,3,81432,1,0,0
357706,34706652,eleven straight russwest44 notches his 11th straight triple double for the okcthunder with 44p 14r 11a #tripledoublealert,3,80382,0,1,0
659648,34706652,jrue_holiday11 shakes and bakes to the rim for the pelicansnba,3,79487,0,0,1
723129,34706652,3tross1 with double clutch baseline,3,75950,0,0,1
716519,34706652,russwest44 with the acrobatic move  nbaontnt,3,73700,0,0,1
673514,34684589,we see things differently footlocker #becausesneakers,3,65768,0,0,1
555919,34684589,ahead of tonights okcthunder action 800pm et nbaontnt we showcase the best of russwest44s 10 straight triple doubles,3,57702,0,0,1
400077,34684589,,3,32205,0,1,0
337770,34684589, what was your fave shaq nbaallstar nbakicks ,3,11610,1,0,0
442865,34684589,swipe through to recap a busy night around the association,3,6447,1,0,0
742007,34684589,damianlillard from waaaay downtown,3,5500,0,0,1
676869,34684589,sdotcurry takes off the dribble late for the trailblazers,3,3155,0,0,1
402475,34684589,nikola jokic notches his 12th triple double of the season for the nuggets with 20p 18r 11a #tripledoublealert,3,1290,0,1,0
723142,34684589,nikola jokic tips it for the nuggets win,2,85073,0,0,1
659660,34684589,isaiahthomas gets on the board for the nuggets,2,83084,0,0,1
792733,34684589,legends,2,82727,0,0,1
659660,34684589,  pskills43 puts up a career high 44 to lead the raptors at home,2,80996,0,0,1
723142,34684589,demarrecarroll1 send us to triple ot in cleveland,2,79632,0,0,1
716532,34684589,callme_nonstop with the tough defense and block for the timberwolves  espn,2,79054,0,0,1
329566,34684589,giannis_an34 secures his 5th triple double of the season for the bucks with 33p 19r 11a #tripledoublealert,2,77999,0,1,0
723142,34684589,quese takes flight for the slam in cleveland,2,76825,0,0,1
659660,34684589,swish41 and dwyanewade check in at the same time in dallas,2,75652,0,0,1
723142,34684589,kknox_23 with two hands for safety,2,74381,0,0,1
609846,34662173,get pumped for tonights houstonrockets action 800pm et nbaonespn with jharden13s best dimes of the season,2,51830,0,0,1
408024,34662173,10 teams 5 winners for tuesdays nba action,2,5614,1,0,0
832565,34662173,stephencurry30 goes on personal 8 0 run to lead the warriors late,2,4336,0,0,1
785501,34662173, jaytatum0 ,1,79095,0,0,1
975313,34662173,kingjames tosses it up through the contact,1,78550,0,0,1
716545,34662173,rudygay takes it baseline for the spurs ,1,73333,0,0,1
555939,34633632,ahead of tonights sixers action 800pm et nbaontnt we showcase tobiasharris hot start with philadelphia,1,50759,0,0,1
262989,34633632,join us in wishing a happy 85th birthday to 11x champion 5x nba mvp 12x nbaallstar  1963 nbaallstar mvp realbillrussell #nbabday repost nbahistory,1,39838,0,1,0
431919,34633632,swipe through to recap mondays nine games,1,125,1,0,0
312508,34633632,ygtrece 47p 12r 10a  russwest44 21p 14r 11a are the first teammates in nbahistory to each have a 20 point triple double in the same game,0,82542,0,1,0
793305,34633632,30 for 30 with this triple jharden13 secures his 30th straight game with 30 points,0,82174,0,0,1
729066,34633632,with this dime russwest44 secured his 10th triple double in 10 games #tripledoublealert,0,81025,0,0,1
343869,34633632,ten straight triple doubles for russwest44 the most in nbahistory,0,80673,0,1,0
659684,34633632,greenranger14  kawhi put in clutch buckets to propel the raptors win,0,79196,0,0,1
343869,34633632,"congrats to cp3 of the houstonrockets for moving up to 8th on the nbas all time assists list 
#rockets #thisiswhyweplay",0,79006,0,1,0
792761,34633632,derrick rose beats everyone down the floor to beat the buzzer,0,77839,0,0,1
792761,34633632,she said yes,0,74668,0,0,1
723168,34633632,ygtrece splits the defense into the slam,0,73120,0,0,1
659684,34633632,thonmaker protects the paint for the detroitpistons,0,71464,0,0,1
723168,34633632,ohhhh supermariohezonja,0,71380,0,0,1
668101,34607577,andredrummondd from the tunnel,0,67003,0,0,1
614422,34607577,shabazznap13r or traeyoungwho had your fave assist of the week #statefarmassists,0,63497,0,0,1
662448,34607577,"the art of the stepback by jharden13  lukadoncic 
 mavs rockets
 800pm et  nbatv",0,54826,0,0,1
308598,34607577, the stat leaders through week 17s action ,0,38670,1,0,0
300749,34607577,the sixers dallasmavs sacramentokings orlandomagic  warriors each win on sunday,6,86043,1,0,0
415921,34607577,flash x splash  #onelastdance,6,84951,0,1,0
848841,34607577,steph curry challenge,6,75204,0,0,1
848841,34607577,remix,6,73802,0,0,1
855765,34607577,a beautiful moment in sacramento #hoopsfortroops,6,73362,0,0,1
841083,34607577,24baze with a pregame ,6,73274,0,0,1
774325,34607577,not in jcollins20_s house,6,72341,0,0,1
652563,34580959,lukadoncic scores 13 in the 4th to lead dallasmavs comeback,6,68159,0,0,1
652563,34580959,joelembiid puts up 37 points  14 boards to lead the sixers in 143 120 w,6,65026,0,0,1
595277,34580959,liluzivert looks on as joelembiid gifts a ball to the crowd following the sixers win,6,64620,0,0,1
652563,34580959,lukadoncic  dwightpowell run the pick  roll to perfection,6,63042,0,0,1
692839,34580959,its always special when theofficialai3 is in philadelphia #nbaonabc,6,59160,0,0,1
596043,34580959,tobiasharris to the rack #phantomcam #nbaonabc,6,58654,0,0,1
360793,34580959,magic x the answer,6,58280,0,1,0
759514,34580959,its gametime in philadelphia #nbaonabc,6,56778,0,0,1
715362,34580959,lukadoncic plus the foul,6,55604,0,0,1
709308,34580959,kingjames  bensimmons headline todays lakers sixers action 330pm et #nbaonabc,6,49442,0,0,1
349531,34580959,todays #nbaonabc action features lakers sixers 330pm et who ya got,6,40883,0,1,0
313530,34580959,join us in wishing paulmillsap4 of the nuggets a happy 34th birthday #nbabday,6,31914,0,1,0
961591,34580959,"whats your favorite part of the chinese new year 

#nbacny #thisiswhyweplay",6,10739,0,0,1
712124,34580959,following his 45p in houston ygtrece dished out his #nbakicks repost nbakicks,5,86351,0,0,1
407042,34580959,with tonights triple double russwest44 ties wilt chamberlain for the most in consecutive games,5,86144,0,1,0
447890,34580959,swipe through to recap saturdays nba action,5,85950,1,0,0
369920,34580959,nine straight triple doubles by russwest44 for the okcthunder #tripledoublealert,5,81874,0,1,0
706362,34580959,stickity13 powers it in for the memgrizz,5,81507,0,0,1
684122,34580959,russwest44 with the steal and dime to russwest44 #nbaonabc,5,79773,0,0,1
644353,34580959,jlin7 to fearthefro95 for the amazing atlhawks inbounds play,5,77567,0,0,1
369920,34580959,"congrats to cp3 of the houstonrockets for moving up to 11th on the nbas all time steals list 
#rockets #thisiswhyweplay",5,77470,0,1,0
706362,34580959,jabariparker throws down a pair of nasty slams for the washwizards in chicago,5,75589,0,0,1
706362,34580959,marcgasol gets on the board for the raptors,5,73588,0,0,1
767261,34580959, desmith4 off the glass to deandre ,5,71947,0,0,1
715375,34551928,rudygobert27 finishes it off the glass,5,64953,0,0,1
692851,34551928,ahead of tonights #nbaonabc action 830pm et we showcase the best of russwest44s eight consecutive triple doubles,5,62358,0,0,1
825010,34551928,"russ x james 
 thunder rockets
 830pm et
 #nbaonabc",5,57706,0,0,1
320884,34551928,tonights #nbaonabc saturday primetime features okcthunder houstonrockets who ya got,5,47629,0,1,0
331971,34551928, the nba standings ahead of todays action ,5,41434,1,0,0
408786,34551928,what was your fave move prior to the #nbatradedeadline,5,35136,0,1,0
370425,34551928, friday nights nba action,5,3449,1,0,0
792805,34551928,weve got a battle in nola,4,85918,0,0,1
785558,34551928,jrue_holiday11 fakes his way to the bucket  espn,4,82433,0,0,1
370155,34551928,nikola jokic secures his 11th triple double of the season for the nuggets with 27 10 10 #tripledoublealert,4,77682,0,1,0
785558,34551928,bensimmons loses the defense to the rim  espn,4,77272,0,0,1
723207,34551928, desmith4 in transition ,4,75695,0,0,1
785558,34551928,welcome back carislevert ,4,73368,0,0,1
723207,34551928,zachlavine8 catches the oop on the way down,4,73155,0,0,1
716597,34551928,bensimmons tosses it up to jimmybutler  espn,4,72961,0,0,1
614455,34532553,crafty big men  #nbaallstar teammates joelembiid  nikola jokic headline tonights espn action 700pm et,4,65357,0,0,1
507172,34532553,best friends boban  tobiasharris make their sixers debuts 700pm et nbaonespn,4,63395,0,0,1
321108,34532553,new sixers threads for bobi  tobi,4,56103,0,1,0
285792,34532553, the stat leaders among #nbarooks ahead of tonights action,4,46116,1,0,0
570502,34532553,after pacers 36 19 4th straight win last night turner_myles  dsabonis11 get work in ahead of practice #pacersallaccess,4,44117,0,0,1
358142,34532553,join us in wishing klaythompson of the warriors a happy 29th birthday #nbabday,4,39748,0,1,0
276871,34532553, all the angles of rajonrondos #tissotbuzzerbeater for the lakers win #thisisyourtime,4,32601,1,0,0
416489,34532553,swipe through to recap thursdays six games,4,4668,1,0,0
670755,34532553,moe_harkless throws down the emphatic slam for the trailblazers  nbaontnt,4,426,0,0,1
897032,34532553,kingjames wraps up a long day that began with the #nbaallstardraft  ended with a 129 128 lakers w in boston,3,85792,0,0,1
357297,34532553,eight straight russwest44 notches his 8th consecutive triple double for the okcthunder with 15 15 13 #tripledoublealert,3,82784,0,1,0
889775,34532553,coach belichick x kingjames x rajonrondo,3,82728,0,0,1
483363,34532553,kingjames notches his 4th triple double of the season for the lakers with 28 12 12 #tripledoublealert,3,82598,0,1,0
576858,34532553,rajonrondos lakers #tissotbuzzerbeater through the lens of our slo mo #phantomcam #thisisyourtime,3,82439,0,0,1
735066,34532553,rajonrondos #tissotbuzzerbeater from the floor #thisisyourtime,3,82223,0,0,1
670538,34532553,rajonrondo with the #tissotbuzzerbeater for the lakers win in boston #thisisyourtime,3,81657,0,0,1
723220,34532553,lebron  kyrie trade triples late nbaontnt,3,81592,0,0,1
861172,34532553, the oop or the windmill by terrance ferguson ,3,80565,0,0,1
716610,34532553,the celtics hustle sets up the triple  nbaontnt,3,80496,0,0,1
792819,34532553,vince carter spins baseline,3,78381,0,0,1
740859,34532553,poetry in motion  #phantomcam,3,77646,0,0,1
653701,34532553,fchwpo powers it in for the celtics  nbaontnt,3,76662,0,0,1
723220,34532553,yutawatanabe12 getting buckets in front of his family,3,75781,0,0,1
432607,34532553,11 x 23,3,75042,0,1,0
659731,34532553,traeyoung threads the needle for the atlhawks,3,74406,0,0,1
785573,34532553, karltowns takes it strong ,3,72704,0,0,1
432607,34532553,the 2019 #nbaallstar #teamlebron  #teamgiannis rosters as drafted by #lebronjames and #giannis,3,69631,0,1,0
408413,34492470,kgarea21 in the building for lakers celtics 800pm et nbaontnt,3,65959,1,0,0
890873,34492470,"kyrieirving finds the open man in this #nbabreakdown

 lakers celtics
 800pm et
 nbaontnt",3,64841,0,0,1
742111,34492470,kyrieirving prepares for tonights celtics nbaontnt action 800pm et,3,61956,0,0,1
802085,34492470, the top 3 plays from the #mtndewicerisingstars in january,3,58105,0,0,1
744445,34492470,"this #nbaallstar dont just play it 
how will you #ownthegame",3,50554,0,0,1
389901,34492470,the lakers and celtics hit the floor in boston 800pm et nbaontnt who ya got,3,45130,0,1,0
365405,34492470, stay tuned for the #nbaallstardraft with team captains kingjames  giannis_an34 at 700pm et nbaontnt ,3,41469,0,1,0
685602,34492470,rajonrondo gives his son pointers on a familiar court #thisiswhyweplay,3,36497,0,0,1
326079,34492470,join us in wishing isaiahthomas of the nuggets a happy 30th birthday #nbabday,3,27774,0,1,0
826842,34492470,"when does chinese new year begin for you 
#nbacny #thisiswhyweplay",3,15393,0,0,1
442306,34492470,swipe through to recap wednesdays seven games,3,5289,1,0,0
742101,34492470,lukadoncic becomes the first teenager to have 3 triple doubles with tonights 19p 11a 10r,3,2506,0,0,1
806081,34492470,easymoneysniper sees an opening  espn,3,1827,0,0,1
904443,34492470,the warriors move the ball to find the open stephencurry30  espn,3,1621,0,0,1
723233,34492470,kennethfaried35 spikes it away,2,82483,0,0,1
329150,34492470,lukadoncic notches his third triple double of the season for the dallasmavs with 19p 11a 10r #tripledoublealert,2,82043,0,1,0
659743,34492470,giannis_an34 explodes for 43 points on 17 21 shooting in the bucks home w,2,81350,0,0,1
362181,34492470,nikola jokic secures his 10th triple double of the season for the nuggets with 25p 14r 10a #tripledoublealert,2,80793,0,1,0
785587,34492470,giannis_an34 runs the floor  espn,2,80610,0,0,1
709974,34492470,stephencurry30 gets an assist from easymoneysniper ahead of tonights espn action,2,77887,0,0,1
792833,34492470,for the jackpot nice shot,2,77270,0,0,1
653713,34492470,giannis_an34 finds malcolmbrogdon for the bucks triple  espn,2,76782,0,0,1
659743,34492470,timmyjr10 gets on the board for the dallasmavs with the oop,2,76200,0,0,1
659743,34492470,the shabazznap13r move or the brooklynnets bench,2,75226,0,0,1
560919,34481163,bosnianbeast27 aldridge_121 klaythompson jharden13 we showcase januarys #gamechangers,2,65744,0,0,1
662054,34481163," the washwizards micd up 

 wizards bucks
 800pm et
 nbaonespn",2,57974,0,0,1
300448,34481163,reigning mvp quavohuncho headlines the #rufflescelebgame rosters at #nbaallstar 2019 repost nbaallstar,2,39801,0,1,0
569919,34481163, the #attslamdunk field at #nbaallstar milesbridges jcollins20_ hamidiallo desmith4,2,32022,0,0,1
748167,34481163,"yuta whats your dream

my dream is to play in the nba

with his parents in attendance tonight yutawatanabe12 made his 2nd career nba three pointer #thisiswhyweplay",2,14087,0,0,1
742114,34481163,clydefrazier  mike breen share a moment as they celebrate 20 years of broadcasting together,2,8646,0,0,1
407539,34481163,swipe through to recap tuesdays 8 games,2,4304,1,0,0
748167,34481163,dwyanewade fades for his 20th point of the night in portland #onelastdance,2,3240,0,0,1
785601,34481163,the big fella fades away  nbaontnt,1,81387,0,0,1
348465,34481163,seven straight russwest44 notches his 7th consecutive triple double for the okcthunder with 16p 16a 15r #tripledoublealert,1,81232,0,1,0
723246,34481163,blakegriffin23 spins through the contact for the lefty finish,1,78766,0,0,1
659755,34481163,tobiasharris fades for the laclippers win,1,77590,0,0,1
659755,34481163,milesbridges protects the paint for the hornets,1,75163,0,0,1
659755,34481163,turner_myles protects the paint for the pacers,1,74059,0,0,1
682080,34481163,poetry in motion #phantomcam,1,73270,0,0,1
389615,34481163, the #statefarmsaturday participants at nbaallstar  #attslamdunk x #mtndew3pt x #tacobellskills x #nbaallstar,1,73046,1,0,0
423603,34481163,32k x ,1,72803,0,1,0
975437,34481163,kingjames to the rack,1,72720,0,0,1
428422,34481163,"congrats to kingjames of the lakers on becoming the fifth player in nbahistory to surpass 32000 points 
#thisiswhyweplay #lakeshow",1,72196,0,1,0
738449,34455119,cross crossin with the top 3 #kumhohandles from january who had your fave,1,66389,0,0,1
731700,34455119,"kawhi leonard sees everything off the ball on defense #nbabreakdown

 raptors sixers
 800pm et
 nbaontnt",1,52789,0,0,1
757738,34455119,"what makes chinese new year so special 
#nbacny #thisiswhyweplay",1,40218,0,0,1
431412,34455119,"happy year of the pig from the nba 
#nbacny #thisiswhyweplay",1,18388,0,1,0
431412,34455119,12 teams hit the floor monday night,1,2641,1,0,0
806110,34455119, mb3five ,1,536,0,0,1
665149,34455119,the holiday bros jrue_holiday11 and the_4th_holiday exchange jerseys #thisiswhyweplay,0,82643,0,0,1
659767,34455119,jrue_holiday11 takes it strong for the pelicansnba,0,76309,0,0,1
343466,34455119,new dallasmavs threads for kporzee,0,73294,0,1,0
659767,34455119,_bigjayy_ on both ends for the brooklynnets,0,71651,0,0,1
614500,34427862,bensimmons or spidadmitchell who had your fave assist of the week #statefarmassists,0,65621,0,0,1
662078,34427862," dloading micd up 

 bucks nets
 730pm et
 nbatv",0,59130,0,0,1
360738,34427862,we remember the pioneers of our game #bhm #nbabhm #nbavoices #thisiswhyweplay,0,50601,1,0,0
291782,34427862, the nba stat leaders ahead of week 17s action,0,43746,1,0,0
335882,34399395,the celtics memgrizz and raptors are each victorious on sunday,6,64038,1,0,0
297630,34399395,russwest44 secures his sixth straight triple double for the okcthunder with 22p 16a 12r #tripledoublealert,6,59349,0,1,0
871124,34399395,kyrieirving puts in a pair of clutch buckets in the celtics win,6,59297,0,0,1
715453,34399395,jaren steps back to beat the shot clock buzzer,6,54288,0,0,1
758806,34399395,"all 5 celtics touch it #nbabreakdown

 thunder celtics
 200pm et
 #nbaonabc",6,47537,0,0,1
766079,34399395," ygtrece on offense  defense 

 thunder celtics
 200pm et
 #nbaonabc",6,43574,0,0,1
424777,34399395,24 teams hit the floor for a busy saturday around the association,6,6561,1,0,0
406557,34399395,nikola jokic notches his 9th triple double of the season for the nuggets with 13p 16r 10a #tripledoublealert,5,85025,0,1,0
774437,34399395,must be the jasonwilliams55 jersey,5,83187,0,0,1
706452,34399395,what a pass by spidadmitchell to bossmann99,5,82143,0,0,1
782037,34399395,andre takes flight for the filthy warriors slam #nbaonabc,5,81373,0,0,1
645265,34399395,boogiecousins with authority #phantomcam #nbaonabc,5,80705,0,0,1
774437,34399395,bensimmons to the rack,5,80601,0,0,1
807160,34399395,stephencurry30 from half at the half #nbaonabc,5,79238,0,0,1
736302,34399395,stephencurry30 finds andre to end the first half #nbaonabc,5,79154,0,0,1
848964,34399395,drose gets through the lane,5,78477,0,0,1
706452,34399395,first time nbaallstar k_mid22 tosses it up to beat the buzzer,5,76310,0,0,1
841205,34399395, spurscoyote got the  ,5,75543,0,0,1
767359,34399395, lukadoncic scores 28 in the first half for the dallasmavs ,5,75034,0,0,1
742584,34399395,andre presents javalemcgee with his warriors 2018 nba championship ring #thisiswhyweplay,5,74709,0,0,1
922158,34399395, vooch ,5,74704,0,0,1
774437,34399395,unclejeffgreen on both ends,5,72587,0,0,1
706465,34377538,tomasatoransky punches home the monster slam for the washwizards,5,70410,0,0,1
758820,34377538," the lakers ball movement #nbabreakdown 
 lakers warriors
 830pm et
 #nbaonabc",5,67025,0,0,1
752681,34377538," money23green micd up 

 lakers warriors
 830pm et
 #nbaonabc",5,62718,0,0,1
792015,34377538,ahead of tonights warriors #nbaonabc action 830pm et we showcase their incredible ball movement,5,56310,0,0,1
315150,34377538, the nba standings ahead of todays action ,5,46424,1,0,0
408318,34377538,who ya got in tonights saturday primetime #nbaonabc action,5,39966,0,1,0
257718,34377538,dallasmavs forward swish41 and miamiheat guard dwyanewade have been named by nba commissioner adamsilvernba as special team roster additions for the 2019 nbaallstar game,5,7122,1,0,0
352142,34377538,the okcthunder nuggets hornets celtics and utahjazz each win friday night,5,2245,1,0,0
785658,34377538,the nuggets wont stop scoring  espn,4,83642,0,0,1
369731,34377538,the houstonrockets debut their lunar new year uniforms tonight #nbacny,4,82997,1,0,0
785658,34377538,a memorable mammoth hammer by tcraig3_  espn,4,82650,0,0,1
336011,34377538,russwest44 notches his 5th straight triple double with 14p 14a 12r for the okcthunder #tripledoublealert,4,80907,0,1,0
659803,34377538,ygtrece puts up a career high and okcthunder franchise high 10 triples in miami,4,80828,0,0,1
723299,34377538,traeyoung gets into the paint for the flashy dime,4,80666,0,0,1
659803,34377538,fchwpo breaks free at msg for the celtics,4,77940,0,0,1
723299,34377538,ds17_fg goes 9 9 in the second quarter for 24 points,4,76949,0,0,1
406834,34377538,throughout february all nba teams will wear custom nike black history month warmup shirts  the dri fit t shirt features words selected by players that reflect black history and culture and our collective commitment to equality and diversity activate believe dream empower engage equality history inspire justice lead listen love perseverance and unify #nbabhm #nbavoices,4,73621,1,0,0
614533,34350383,lukadoncic of the dallasmavs named western conference kia nba rookie of the month for january #kiarotm,4,64825,0,0,1
